date,remainder
1970-01-01,-12.731500639629001
1970-01-02,-4.831584545799367
1970-01-03,-1.331668451969732
1970-01-04,-4.331752358140099
1970-01-05,-2.9318362643104643
1970-01-06,-4.63192017048083
1970-01-07,-7.032004076651195
1970-01-08,-10.132087982821561
1970-01-09,-6.1321718889919286
1970-01-10,-2.532255795162294
1970-01-11,0.9676602986673402
1970-01-12,0.5675763924969741
1970-01-13,0.7674924863266082
1970-01-14,1.0674085801562423
1970-01-15,1.2673246739858761
1970-01-16,-3.53275923218449
1970-01-17,-5.432843138354856
1970-01-18,-7.632927044525222
1970-01-19,-7.633010950695588
1970-01-20,-6.333094856865954
1970-01-21,-6.233178763036319
1970-01-22,-7.633262669206686
1970-01-23,-6.233346575377051
1970-01-24,-3.5334304815474176
1970-01-25,-0.6335143877177833
1970-01-26,2.266401706111851
1970-01-27,1.0663177999414846
1970-01-28,-1.2337661062288814
1970-01-29,-3.3338500123992474
1970-01-30,-6.833933918569613
1970-01-31,-9.434017824739978
1970-02-01,-12.85040066200921
1970-02-02,-6.550484568179577
1970-02-03,1.949431525650057
1970-02-04,2.849347619479691
1970-02-05,2.249263713309325
1970-02-06,-2.450820192861041
1970-02-07,-0.950904099031407
1970-02-08,1.949011994798227
1970-02-09,0.8489280886278611
1970-02-10,0.24884418245749496
1970-02-11,-1.251239723712871
1970-02-12,-1.2513236298832369
1970-02-13,-2.2514075360536028
1970-02-14,-4.751491442223969
1970-02-15,-7.951575348394335
1970-02-16,-5.551659254564701
1970-02-17,-5.851743160735066
1970-02-18,-3.951827066905433
1970-02-19,-5.551910973075799
1970-02-20,0.3480051207538354
1970-02-21,0.8479212145834695
1970-02-22,0.24783730841310336
1970-02-23,-1.7522465977572625
1970-02-24,-2.5523305039276285
1970-02-25,-0.052414410097994635
1970-02-26,-2.6524983162683604
1970-02-27,-3.3525822224387265
1970-02-28,-3.7526661286090923
1970-03-01,-6.138843828967089
1970-03-02,-4.338927735137456
1970-03-03,-5.239011641307821
1970-03-04,-5.139095547478187
1970-03-05,-4.039179453648554
1970-03-06,-4.239263359818919
1970-03-07,-4.339347265989286
1970-03-08,-4.639431172159651
1970-03-09,-4.139515078330017
1970-03-10,-3.539598984500383
1970-03-11,-3.939682890670749
1970-03-12,-1.7397667968411157
1970-03-13,-3.739850703011481
1970-03-14,-4.939934609181847
1970-03-15,-4.940018515352213
1970-03-16,-3.440102421522579
1970-03-17,0.15981367230705512
1970-03-18,-0.14027023386331106
1970-03-19,-0.7403541400336766
1970-03-20,-0.740438046204043
1970-03-21,2.4594780476255904
1970-03-22,2.459394141455225
1970-03-23,0.9593102352848586
1970-03-24,-1.6407736708855065
1970-03-25,-3.040857577055873
1970-03-26,-2.1409414832262383
1970-03-27,-2.341025389396605
1970-03-28,-4.241109295566971
1970-03-29,-3.5411932017373364
1970-03-30,1.9587228920922968
1970-03-31,3.3586389859219317
1970-04-01,-3.506251373450219
1970-04-02,-6.806335279620586
1970-04-03,-7.606419185790951
1970-04-04,-7.606503091961317
1970-04-05,-8.206586998131684
1970-04-06,-4.00667090430205
1970-04-07,-5.706754810472415
1970-04-08,-2.9068387166427803
1970-04-09,-5.806922622813148
1970-04-10,-6.807006528983513
1970-04-11,-5.807090435153879
1970-04-12,-5.607174341324246
1970-04-13,-3.5072582474946117
1970-04-14,-3.507342153664977
1970-04-15,-2.0074260598353426
1970-04-16,0.5924900339942898
1970-04-17,4.892406127823925
1970-04-18,3.992322221653559
1970-04-19,4.092238315483192
1970-04-20,-1.3078455906871733
1970-04-21,0.7920705031424617
1970-04-22,2.7919865969720963
1970-04-23,4.091902690801728
1970-04-24,2.2918187846313636
1970-04-25,2.091734878460997
1970-04-26,2.0916509722906316
1970-04-27,-1.2084329338797346
1970-04-28,-1.7085168400501
1970-04-29,-4.808600746220466
1970-04-30,-4.5086846523908335
1970-05-01,-8.78309347833612
1970-05-02,-5.2831773845064856
1970-05-03,-2.8832612906768507
1970-05-04,-2.6833451968472186
1970-05-05,0.41657089698241556
1970-05-06,4.716486990812049
1970-05-07,5.216403084641682
1970-05-08,7.516319178471317
1970-05-09,5.716235272300951
1970-05-10,5.516151366130586
1970-05-11,-0.3839325400397797
1970-05-12,-2.684016446210146
1970-05-13,-2.284100352380511
1970-05-14,-1.6841842585508786
1970-05-15,-1.0842681647212444
1970-05-16,-0.48435207089161025
1970-05-17,-1.184435977061975
1970-05-18,1.715480116767658
1970-05-19,1.115396210597293
1970-05-20,-1.8846876955730725
1970-05-21,-1.8847716017434397
1970-05-22,-3.5848555079138062
1970-05-23,-3.484939414084172
1970-05-24,-0.6850233202545368
1970-05-25,3.7148927735750945
1970-05-26,0.11480886740473117
1970-05-27,-3.4852750387656357
1970-05-28,-1.5853589449360026
1970-05-29,-0.385442851106367
1970-05-30,0.7144732427232672
1970-05-31,-2.085610663447099
1970-06-01,-4.110309344464861
1970-06-02,-3.9103932506352237
1970-06-03,-2.3104771568055913
1970-06-04,-1.4105610629759582
1970-06-05,1.5893550308536781
1970-06-06,3.589271124683311
1970-06-07,4.489187218512942
1970-06-08,6.289103312342579
1970-06-09,6.389019406172213
1970-06-10,3.488935500001844
1970-06-11,4.48885159383148
1970-06-12,-1.7112323123388862
1970-06-13,-0.31131621850925484
1970-06-14,-0.31140012467961853
1970-06-15,2.388515969150017
1970-06-16,4.288432062979652
1970-06-17,3.888348156809286
1970-06-18,2.9882642506389168
1970-06-19,5.288180344468554
1970-06-20,8.288096438298187
1970-06-21,9.08801253212782
1970-06-22,8.287928625957456
