recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Alcohol g,Protein g,Selenium µg,Phosphorus mg,Manganese mg,Vitamin B6 mg,Vitamin B12 µg,Vitamin B3 mg,Potassium mg,Magnesium mg,Copper mg,Vitamin K µg,Vitamin B1 mg,Zinc mg,Vitamin D µg,Vitamin B5 mg,Vitamin B2 mg,Vitamin E mg,Iron mg,Calcium mg,Folate µg,Fiber g,Vitamin C mg,Vitamin A IU
1055613,131.96,9.22,5.58,8.85,7.35,2.86,41.68,870.98,,4.0,6.98,63.26,0.25,0.13,0.45,0.76,179.46,16.02,0.13,16.76,0.07,0.39,0.16,0.25,0.07,0.57,0.65,35.82,29.28,1.5,24.88,880.68
715396,337.05,24.49,14.85,20.07,17.08,6.4,111.14,1545.65,,10.2,18.55,158.68,0.38,0.32,1.19,1.95,409.01,36.28,0.31,24.53,0.17,0.97,0.42,0.6,0.19,1.43,1.45,81.55,70.56,3.0,59.21,2147.47
645903,276.27,12.41,3.39,5.68,5.14,4.93,114.89,1945.68,,33.86,97.76,441.71,0.08,0.95,2.89,13.5,824.84,56.18,0.09,3.22,0.14,1.23,23.65,0.65,0.11,3.49,0.89,20.66,14.3,0.54,14.68,1536.48
654417,198.44,8.24,1.27,4.63,3.76,1.68,42.5,116.38,6.18,16.04,53.68,195.63,0.12,0.24,1.18,2.32,461.76,33.4,0.06,6.99,0.04,0.45,3.23,0.38,0.18,1.52,0.65,26.33,14.28,0.87,9.38,277.77
640054,251.13,16.8,1.68,7.1,6.34,1.89,27.4,490.76,,17.79,39.43,244.59,0.16,0.38,0.9,3.85,555.78,33.82,0.11,16.13,0.08,0.7,,0.21,0.16,2.99,1.09,28.76,14.13,0.76,3.99,457.62
650112,265.52,20.22,16.36,22.11,17.4,7.95,0.0,539.62,,4.97,5.57,165.06,1.78,0.27,,1.4,546.99,85.62,0.33,6.59,0.14,1.23,,0.3,0.08,1.04,7.11,101.22,33.8,4.71,9.19,663.77
716408,367.59,12.57,3.86,32.25,28.97,6.55,69.31,419.08,1.55,28.44,55.66,316.54,0.64,0.67,2.03,6.14,710.33,63.48,0.19,18.26,0.16,1.54,3.57,1.38,0.31,3.4,1.78,112.11,90.59,3.28,138.36,3585.86
649703,17.71,0.07,0.01,4.26,4.2,3.03,0.0,108.23,,0.17,,,,,,,,,,16.41,,,,,,,,,,,3.91,85.7
648758,357.35,26.41,8.77,5.74,3.74,0.4,52.88,719.42,,24.51,43.4,199.02,2.37,0.5,4.95,21.48,639.36,60.96,0.24,10.28,0.16,1.22,10.24,0.45,0.51,3.92,3.96,69.94,127.19,2.0,24.74,896.2
637285,822.45,58.66,16.33,51.16,41.54,9.7,113.2,1698.86,,27.33,19.32,553.34,0.64,0.61,1.99,3.62,944.87,108.94,0.33,53.27,0.34,3.35,7.84,1.92,0.4,4.76,2.66,387.44,79.37,9.62,30.49,1815.74
662089,726.46,40.39,24.37,56.24,54.1,3.14,172.64,698.08,,34.0,69.7,509.86,0.63,0.3,1.99,3.56,577.54,73.32,0.25,11.07,0.18,2.7,2.56,1.22,0.45,1.34,1.63,454.88,41.03,2.14,4.23,1276.22
635712,512.04,22.35,4.57,47.86,43.0,11.75,63.94,1252.18,3.09,25.29,42.73,433.34,0.57,0.75,2.09,5.26,1214.36,78.39,0.25,31.47,0.22,1.47,1.93,0.94,0.19,2.72,2.28,119.5,71.07,4.86,35.02,1111.68
654469,619.04,49.03,24.8,4.83,3.83,2.63,202.56,196.44,3.09,34.55,98.17,468.53,0.15,1.02,2.96,13.64,918.21,61.81,0.12,10.87,0.16,1.33,24.27,0.74,0.12,5.26,1.01,31.06,17.88,1.0,12.42,1774.86
640166,411.9,26.18,4.56,16.52,14.24,3.14,135.81,538.19,,26.88,24.04,372.65,0.18,0.37,3.29,3.42,674.15,55.27,0.12,37.64,0.37,1.46,18.02,1.49,0.21,3.45,1.51,43.97,38.01,2.28,30.23,1242.87
657095,446.47,15.87,1.61,48.54,45.2,3.21,184.41,359.14,,28.04,7.86,348.57,1.1,0.25,,1.45,657.13,72.54,0.63,14.55,0.09,2.46,,0.67,0.08,3.11,2.22,135.99,18.27,3.35,11.86,573.4
663151,359.15,7.46,1.85,44.6,43.41,11.07,105.69,1633.88,,27.3,17.58,309.51,0.53,0.59,,8.75,861.33,76.92,0.61,38.83,0.22,2.0,,0.41,0.47,0.65,2.19,79.97,48.3,1.19,52.12,561.92
640321,522.46,18.41,2.74,68.79,57.89,19.85,33.89,153.07,,24.53,28.49,471.0,1.39,1.19,1.81,8.92,1418.05,174.56,0.81,25.65,0.53,2.9,,2.71,0.63,3.73,4.25,75.74,241.07,10.9,104.93,1397.89
631751,287.96,25.63,14.71,5.46,5.2,2.48,108.11,433.01,,9.64,15.87,145.27,0.07,0.08,1.22,1.18,181.27,18.99,0.28,2.49,0.06,1.56,0.49,0.68,0.12,0.91,0.55,97.63,27.49,0.26,1.56,943.21
640323,68.8,3.93,1.93,5.01,4.87,0.39,15.82,184.73,,3.23,6.21,39.68,0.06,0.02,0.96,0.54,42.27,7.64,0.11,1.54,0.05,0.73,,,0.05,,0.36,18.08,12.22,,,132.15
654566,247.35,3.33,0.83,32.08,30.11,1.8,176.27,257.97,,22.06,16.68,249.2,0.36,0.07,0.2,2.59,306.15,42.84,0.39,1.59,0.37,1.65,0.29,0.46,0.25,0.25,2.69,101.0,68.4,1.97,9.54,83.16
