recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Vitamin B3 mg,Selenium µg,Vitamin B6 mg,Phosphorus mg,Vitamin B5 mg,Potassium mg,Vitamin B2 mg,Magnesium mg,Vitamin A IU,Zinc mg,Vitamin B1 mg,Vitamin B12 µg,Vitamin E mg,Iron mg,Calcium mg,Manganese mg,Copper mg,Fiber g,Vitamin C mg,Folate µg,Vitamin K µg,Vitamin D µg,Alcohol g
673436,120.11,5.27,0.74,19.21,14.95,13.91,0.0,25.52,1.91,1.61,2.82,0.13,47.53,0.67,330.44,0.09,20.87,475.38,0.53,0.06,,1.62,0.65,11.71,0.14,0.17,4.26,9.8,36.45,12.21,,
638252,776.66,34.38,9.77,67.12,64.43,2.14,163.71,505.62,46.83,16.19,43.37,0.98,427.2,2.86,617.5,0.32,73.67,666.31,3.87,0.22,0.67,1.14,3.74,80.74,1.14,0.31,2.69,24.16,29.27,23.71,0.44,
638409,485.55,24.31,11.26,32.99,27.79,7.76,101.42,1278.59,34.13,8.88,36.1,0.74,576.94,1.32,502.32,0.31,74.38,1370.71,2.89,0.13,1.04,1.27,1.9,399.46,0.23,0.13,5.2,7.03,18.12,8.92,0.37,
795751,647.15,26.0,7.64,52.66,40.79,7.2,125.92,851.93,51.75,19.06,60.16,1.92,793.31,3.97,1622.7,0.63,199.27,3574.46,4.56,0.45,1.15,5.03,4.67,264.51,1.53,0.57,11.87,113.0,231.01,42.98,0.3,
638382,695.67,15.8,2.44,101.1,96.9,18.89,72.32,3588.87,46.37,19.15,45.86,1.62,731.22,4.02,1285.37,0.61,211.66,117.21,4.35,0.62,0.23,0.69,5.67,175.85,1.98,0.8,4.2,20.86,112.14,14.05,0.45,1.7
637908,615.59,13.66,3.37,81.79,75.95,6.6,199.84,1250.36,42.82,14.68,88.82,0.82,594.58,2.05,1088.12,0.56,104.92,5567.68,3.72,0.22,1.0,0.95,4.63,140.99,1.23,0.86,5.84,5.31,62.6,24.38,0.94,
638026,188.33,11.48,1.94,12.81,9.34,3.45,19.83,55.7,8.81,1.94,5.16,0.21,130.26,0.51,251.79,0.08,34.06,141.65,1.03,0.12,0.16,1.53,1.64,42.04,0.28,0.15,3.48,2.08,96.53,6.53,0.22,
638190,53.36,2.85,0.43,3.24,2.49,2.03,10.67,38.55,3.98,1.87,5.44,0.16,45.85,0.3,138.62,0.03,9.25,165.56,0.17,0.03,,0.46,0.25,,0.14,0.03,0.74,10.2,12.85,7.52,,
637883,729.8,34.48,9.68,69.46,67.21,7.19,142.79,1712.8,32.58,8.56,39.71,0.73,388.13,2.4,652.56,0.36,83.7,871.81,3.2,0.2,0.94,2.72,2.99,80.11,1.32,0.35,2.25,13.2,44.26,151.5,,
637966,506.89,18.63,3.31,65.2,63.76,31.65,65.38,1622.44,20.17,0.88,0.85,0.11,20.16,,196.68,0.1,10.88,408.88,0.18,,,1.9,12.09,48.92,0.16,0.07,1.44,7.19,6.03,6.92,,
