recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Phosphorus mg,Selenium µg,Vitamin B2 mg,Vitamin B6 mg,Fiber g,Potassium mg,Magnesium mg,Manganese mg,Calcium mg,Vitamin B5 mg,Zinc mg,Iron mg,Folate µg,Copper mg,Vitamin B12 µg,Vitamin A IU,Vitamin D µg,Vitamin B1 mg,Vitamin B3 mg,Vitamin C mg,Vitamin E mg,Vitamin K µg,Alcohol g,Caffeine mg
643942,360.2,3.64,0.37,77.01,73.08,35.03,0.0,19.9,7.14,108.79,,0.07,0.12,3.92,242.15,39.55,0.63,35.16,0.75,0.66,0.94,16.41,0.29,,,,0.11,2.0,1.38,,,,
662581,333.51,20.71,4.84,27.67,23.2,6.93,171.1,365.81,9.81,195.02,15.73,0.33,0.46,4.47,560.76,42.46,0.42,124.9,1.74,1.28,1.89,54.77,0.23,0.45,17334.01,0.92,0.14,1.03,43.83,3.29,25.29,,
661251,142.26,10.11,1.21,8.34,6.33,0.52,72.75,161.76,6.24,119.14,7.55,0.1,0.07,2.01,140.1,23.1,0.29,77.87,0.3,0.51,1.53,21.69,0.06,0.17,418.77,0.39,,,0.94,0.61,16.34,,
1096170,264.28,7.02,1.12,44.14,39.47,24.1,3.06,48.31,8.67,240.67,10.75,0.27,0.09,4.67,378.54,74.32,1.2,152.66,0.75,1.8,1.62,28.61,0.24,0.32,114.99,,0.18,0.81,20.12,2.72,6.44,,
644882,249.4,15.05,8.27,18.13,13.01,10.03,260.79,330.53,10.34,156.86,20.52,0.33,0.14,5.12,252.57,28.23,0.35,87.25,1.12,1.06,2.29,35.66,0.13,0.6,548.2,1.43,0.05,0.28,,1.06,7.65,0.72,
1697715,142.63,11.77,5.97,0.82,0.78,0.26,209.11,256.14,8.1,143.37,16.16,0.26,0.09,,84.24,9.28,0.02,88.37,0.82,0.8,0.94,25.83,0.04,0.52,555.01,1.13,0.02,,0.92,0.7,3.94,,
1095962,74.38,5.36,2.75,0.99,0.78,0.45,92.1,142.29,5.44,99.99,8.39,0.15,0.06,,69.07,7.32,0.03,88.23,0.43,0.62,0.51,17.01,0.02,0.29,266.7,0.55,0.02,,6.76,0.32,8.11,,
632614,272.7,15.26,7.09,30.94,28.37,17.17,58.81,165.4,5.0,98.68,8.39,0.1,0.04,2.57,153.3,15.33,0.22,74.18,0.27,0.39,0.76,12.4,0.08,0.13,563.58,0.37,0.03,0.29,2.12,1.09,2.05,,
655212,252.11,5.93,1.68,44.83,39.69,16.81,3.82,60.97,6.87,170.55,15.93,0.07,0.12,5.14,227.99,65.08,1.66,38.11,0.44,1.4,1.75,18.91,0.2,,60.87,,0.19,2.21,1.11,1.03,1.67,0.56,
659396,630.69,41.3,10.66,41.08,36.03,5.98,213.12,1030.77,23.19,276.34,23.6,0.57,0.66,5.04,827.91,73.96,0.76,116.62,1.46,3.16,5.03,242.56,0.29,1.01,6021.41,1.36,0.65,8.26,115.59,4.81,176.56,,
