recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Selenium µg,Phosphorus mg,Vitamin B2 mg,Vitamin B6 mg,Fiber g,Potassium mg,Magnesium mg,Manganese mg,Calcium mg,Zinc mg,Vitamin B5 mg,Iron mg,Folate µg,Vitamin B12 µg,Copper mg,Vitamin A IU,Vitamin D µg,Vitamin B1 mg,Vitamin B3 mg,Vitamin C mg,Vitamin E mg,Vitamin K µg,Alcohol g,Caffeine mg
643942,360.2,3.63,0.37,77.03,73.13,35.41,0.0,20.0,7.15,,108.79,0.07,0.12,3.9,242.61,39.49,0.63,35.11,0.66,0.75,0.94,16.41,,0.29,,,0.11,1.98,1.38,0.16,,,
662581,332.38,20.77,4.71,27.75,23.28,6.92,170.74,368.14,9.71,16.75,191.2,0.34,0.46,4.47,559.28,42.39,0.42,123.91,1.32,1.74,1.85,54.98,0.47,0.23,17334.01,0.92,0.14,1.03,43.92,3.33,25.26,,
661251,142.26,10.11,1.21,8.34,6.33,0.52,72.75,161.76,6.25,7.55,119.14,0.1,0.07,2.01,140.1,23.1,0.29,77.87,0.51,0.3,1.53,21.69,0.17,0.06,418.77,0.39,,,0.94,0.61,16.34,,
1096170,264.3,7.05,1.13,44.05,39.36,24.15,3.06,48.54,8.67,10.9,240.4,0.28,0.09,4.69,368.08,74.38,1.2,153.22,1.8,0.75,1.61,28.19,0.32,0.24,114.99,,0.18,0.83,18.07,2.65,6.44,,
644882,249.4,15.05,8.27,18.13,13.02,10.02,260.79,325.49,10.37,20.52,156.86,0.33,0.14,5.12,252.57,28.23,0.35,87.25,1.08,1.12,2.29,35.66,0.6,0.13,548.2,1.32,0.05,0.28,,1.06,7.65,0.72,
1697715,142.25,11.7,5.97,0.82,0.78,0.47,207.31,252.79,8.18,16.35,143.07,0.26,0.09,,85.74,9.28,0.02,88.44,0.8,0.82,0.95,25.83,0.52,0.04,555.01,1.15,0.02,,0.92,0.69,3.94,,
1095962,74.81,5.44,2.58,1.09,0.89,0.42,91.71,145.21,5.31,9.68,95.55,0.16,0.06,,67.76,7.3,0.03,87.29,0.68,0.43,0.46,17.1,0.32,0.02,266.7,0.54,0.02,,6.76,0.36,8.11,,
632614,273.25,15.24,6.89,31.15,28.58,17.25,59.82,151.64,5.06,8.55,93.07,0.1,0.04,2.57,151.0,15.33,0.22,72.89,0.39,0.27,0.75,12.26,0.12,0.08,563.58,0.17,0.03,0.29,2.12,1.08,2.01,,
655212,252.11,5.93,1.68,44.83,39.69,16.81,3.82,60.97,6.87,15.93,170.55,0.07,0.12,5.14,227.99,65.08,1.66,38.11,1.4,0.44,1.75,18.91,,0.2,60.87,,0.19,2.21,1.11,1.03,1.67,0.56,
659396,619.28,40.81,10.49,39.86,35.2,8.45,213.12,1033.97,23.63,17.2,271.22,0.59,0.69,4.66,836.87,73.32,0.76,133.9,3.12,1.46,5.35,188.8,1.01,0.25,6021.41,1.36,0.72,8.37,115.81,4.82,177.74,,
1095779,363.61,20.27,6.87,26.76,22.65,7.32,218.16,1142.42,19.94,19.86,238.06,0.38,0.45,4.11,521.56,42.14,0.41,201.86,1.72,1.64,2.21,60.56,0.59,0.2,14596.97,0.99,0.13,1.0,58.74,1.82,39.01,,
664054,550.82,39.29,12.19,16.28,13.33,4.17,552.27,866.94,32.13,49.17,465.25,0.94,0.69,2.96,932.97,86.15,0.42,137.97,4.27,3.59,4.78,91.01,1.93,0.49,11847.56,3.78,0.39,5.81,18.61,3.24,427.4,,
636087,485.68,18.6,10.25,65.93,64.39,23.01,179.15,488.64,13.37,33.69,419.71,0.61,0.12,1.54,539.35,26.96,0.4,266.43,1.24,1.17,3.48,122.7,0.77,0.13,705.28,2.15,0.49,3.35,,0.82,1.54,0.34,
633205,296.74,15.02,4.81,16.05,13.69,5.72,115.5,683.75,26.54,31.37,324.2,0.39,0.96,2.36,711.15,51.94,0.19,31.28,2.41,1.8,1.66,46.54,0.71,0.27,628.92,0.79,0.23,11.05,25.9,0.81,9.86,,
640194,443.04,31.79,4.25,18.83,12.53,4.85,0.0,1765.18,24.58,6.92,107.48,0.32,0.26,6.3,481.47,31.76,0.74,355.83,0.89,1.03,6.18,56.89,,0.37,754.96,,0.17,2.72,9.36,4.3,54.83,,
633202,331.7,17.55,7.01,41.74,39.0,26.6,32.61,213.42,4.86,8.25,122.92,0.14,0.15,2.74,232.37,32.99,0.76,49.51,0.75,0.34,1.45,47.18,0.08,0.29,209.51,,0.17,1.18,3.01,0.41,3.34,0.23,
634006,578.93,31.89,19.78,70.81,68.43,40.7,108.62,852.13,5.11,14.02,70.37,0.25,0.24,2.38,265.59,24.53,0.38,21.47,0.44,0.49,1.76,73.57,0.13,0.1,1022.82,0.71,0.27,2.26,5.13,1.03,3.06,0.23,
641978,112.91,9.07,1.77,6.07,4.62,2.05,0.09,56.82,3.69,1.42,73.06,0.06,0.09,1.45,111.96,37.54,0.35,10.93,0.62,0.2,0.95,23.36,0.09,0.14,,,0.05,2.0,,1.0,,,
1095835,203.82,1.4,0.53,42.03,40.2,9.06,13.11,168.16,5.59,15.57,77.92,0.27,0.05,1.83,124.58,16.47,0.36,41.84,0.58,0.39,2.2,88.67,0.13,0.08,,0.26,0.37,2.69,,,1.15,,
1499853,148.5,5.71,1.63,25.0,25.0,23.68,0.0,60.89,0.03,,,,,,,,,,,,,,,,,,,,,,,,
650498,40.03,1.57,0.92,5.23,5.07,5.1,5.77,20.94,1.55,1.03,48.16,0.07,0.03,,87.15,6.58,,55.64,0.18,0.15,,,0.14,0.02,60.34,0.24,0.02,,9.16,,,,
1095931,407.86,17.3,2.77,42.99,36.91,26.43,11.35,227.77,24.34,1.38,139.24,0.27,0.25,6.08,436.66,88.27,0.69,416.15,0.92,0.31,1.78,25.85,,0.32,352.1,,0.03,1.24,5.16,5.87,,,
636392,374.36,13.98,8.39,54.68,48.38,13.23,163.68,369.25,13.18,17.06,290.2,0.32,0.43,6.29,416.42,158.24,1.33,60.67,2.5,0.95,3.31,53.39,0.39,0.38,239.08,0.88,0.27,3.75,,0.67,4.54,,
1096269,98.03,4.7,4.08,15.06,12.51,11.62,0.0,4.25,0.97,1.44,24.31,0.02,0.04,2.55,137.6,16.12,0.27,25.12,0.25,0.12,0.55,,,0.1,,,0.02,,,,2.23,,
