recipe_id,Carbohydrates g,Calories kcal,Fat g,Protein g
715769,71.66,625.07,30.69,19.86
648257,49.5,221.45,0.82,15.21
1095745,72.38,450.17,10.35,20.54
658753,62.82,445.72,16.9,12.75
658515,16.15,232.48,18.01,5.82
648275,13.3,286.28,13.97,28.8
1095740,50.52,442.11,23.98,11.53
1095751,61.45,296.04,1.12,8.92
648190,103.42,648.72,14.93,27.52
656972,59.63,390.41,10.37,16.62
658743,89.57,735.7,30.49,34.09
644885,29.46,132.62,0.37,3.54
647563,48.65,493.69,25.72,22.48
658615,43.38,390.4,17.36,17.99
655400,46.15,452.05,25.74,12.17
656544,43.62,458.59,24.96,20.06
644830,87.69,515.58,13.73,10.29
649850,76.69,789.56,54.21,22.48
637811,83.59,580.32,21.49,11.61
1096168,59.89,331.43,5.2,8.84
640064,66.99,521.94,19.15,21.68
656329,13.37,308.7,22.4,15.53
644205,41.17,349.42,17.4,10.28
1095746,51.68,368.49,14.77,9.16
648118,13.04,180.85,14.66,2.32
641962,19.45,349.0,25.13,17.23
663771,44.88,356.12,15.85,10.08
645020,43.81,328.49,14.61,6.13
654573,39.69,368.2,20.01,8.72
639794,64.11,496.47,25.3,6.54
649147,39.59,367.31,19.98,8.61
658782,24.67,140.96,2.98,3.44
1095817,12.11,204.76,16.21,5.58
632094,82.07,555.83,21.84,12.44
652687,61.4,418.41,12.99,7.15
1005368,24.97,480.8,39.21,8.71
646660,30.73,501.56,38.63,8.67
645187,19.17,162.75,8.32,2.87
663749,14.71,100.83,3.69,2.77
661757,67.11,249.3,0.22,0.5
648715,14.41,205.84,15.32,3.26
640123,74.73,560.44,25.46,9.2
1061943,61.35,480.16,24.08,5.78
633078,8.24,54.35,1.95,1.37
642777,46.92,501.12,27.87,13.99
664470,4.68,132.6,11.94,1.82
637513,7.62,71.63,3.63,2.34
635375,34.8,162.79,1.41,2.84
651758,19.95,100.77,1.33,2.22
1096288,3.4,87.23,6.03,5.25
640395,14.72,106.12,4.88,1.87
1095809,1.09,129.85,13.94,0.03
648119,8.58,70.61,3.75,0.99
1697783,66.71,547.73,21.59,21.91
1095832,28.58,198.65,7.42,4.26
715769,71.66,625.07,30.69,19.86
715495,29.71,219.22,7.56,10.2
715573,68.7,810.53,45.86,33.67
659109,45.08,439.42,18.74,25.67
648279,70.22,460.35,2.93,38.29
648257,49.5,221.45,0.82,15.21
648247,45.85,463.05,7.99,59.7
640819,61.69,472.27,16.57,21.45
1095745,72.38,450.17,10.35,20.54
658753,62.82,445.72,16.9,12.75
664737,57.6,507.53,21.7,24.94
716300,86.65,659.16,23.26,26.82
664565,72.44,379.87,3.91,16.75
658515,16.15,232.48,18.01,5.82
1095742,68.35,332.88,1.15,15.87
715538,69.02,521.13,10.27,35.12
642095,45.59,359.74,11.46,23.22
648275,13.3,286.28,13.97,28.8
632935,87.21,474.34,5.94,13.4
648176,21.01,750.54,52.9,44.93
643471,105.83,685.18,24.12,19.09
638088,101.96,696.42,9.5,44.07
648259,67.17,590.97,31.07,15.13
646549,93.42,527.85,6.9,22.35
1095740,50.52,442.11,23.98,11.53
1095751,61.45,296.04,1.12,8.92
647124,70.35,706.18,41.05,15.85
648190,103.42,648.72,14.93,27.52
656972,59.63,390.41,10.37,16.62
658743,89.57,735.7,30.49,34.09
644885,29.46,132.62,0.37,3.54
657312,74.74,408.53,7.21,13.48
647563,48.65,493.69,25.72,22.48
1096088,60.29,648.85,24.57,49.57
658615,43.38,390.4,17.36,17.99
641893,44.9,704.74,41.26,39.39
656571,48.29,619.33,26.92,45.8
663136,104.96,907.47,35.08,45.65
1697699,61.67,1261.39,98.84,38.27
655400,46.15,452.05,25.74,12.17
648155,24.45,258.24,5.38,30.74
654125,7.09,405.87,17.81,45.07
1046983,21.29,522.5,26.36,53.51
640314,44.11,633.25,30.46,46.33
649270,24.37,514.62,33.47,34.09
651922,62.59,400.7,11.35,15.74
157991,33.62,381.17,20.45,17.9
658632,68.27,413.72,9.12,17.51
638236,43.55,426.91,15.56,29.16
642297,50.26,528.74,28.54,20.73
663366,70.02,476.74,13.25,19.29
634891,43.87,635.43,25.98,53.33
660292,28.6,148.64,1.7,6.7
655847,92.66,825.97,36.57,32.47
656544,43.62,458.59,24.96,20.06
633661,92.74,1265.09,70.66,67.49
652856,30.08,354.96,21.52,11.68
1095810,37.23,610.95,40.84,33.45
648048,41.26,620.06,31.41,40.07
660215,77.13,896.18,46.23,44.95
636610,58.28,640.34,27.99,38.59
644830,87.69,515.58,13.73,10.29
650397,115.75,855.39,22.91,47.42
633884,100.81,867.46,31.49,45.52
649850,76.69,789.56,54.21,22.48
638235,81.04,610.44,10.53,45.75
649292,63.66,588.54,25.31,28.82
637811,83.59,580.32,21.49,11.61
657249,19.08,163.51,6.65,9.34
642325,38.12,355.63,18.42,14.64
662346,75.37,695.82,32.42,27.34
663227,49.8,393.76,14.7,16.14
654928,72.52,885.04,48.75,32.33
631824,29.41,304.0,15.84,16.43
643175,51.23,313.25,8.2,8.28
157375,107.09,956.0,41.41,29.01
648238,32.54,384.68,19.9,20.67
715560,46.75,422.31,15.8,22.07
650119,92.36,673.71,19.27,30.36
654935,99.18,575.63,11.67,19.27
651646,73.12,601.36,23.11,29.17
